landmark;nama;harga;luas;Kasur;Kipas Angin;Guling;Bantal;Cermin;Cleaning service;AC;Fasilitas kamar;Meja;Ventilasi;Dispenser;Wastafel;TV Kabel;Kulkas;Dapur Pribadi;Kursi;Jendela;Lemari Baju;TV;Meja Rias;Shower;Fasilitas kamar mandi;Air panas;Bak mandi;K. Mandi Luar;Kloset Duduk;Ember mandi;Kloset Jongkok;K. Mandi Dalam;Rp20.000/hari;Rp499.999;Tamu menginap dikenakan biaya;Rp100.000;Deposit;Tipe ini bisa diisi maks. 4 orang/ kamar;Tipe ini bisa diisi maks. 3 orang/ kamar;Rp100.000/3 hari;Wajib sertakan surat nikah saat pengajuan sewa;Rp300.000/3 hari;Tamu boleh menginap;Dibebankan jika penyewa terlambat bayar tagihan sewa.;Tipe ini bisa diisi maks. 2 orang/ kamar;Tidak untuk pasutri;Wajib sertakan kartu keluarga saat pengajuan sewa;Rp50.000/10 hari;Boleh bawa anak;Rp9.998/hari;Rp300.000;Denda keterlambatan;Tambah biaya untuk alat elektronik;Tipe ini bisa diisi maks. 1 orang/ kamar;Rp500.000;Rp50.000/3 hari;Boleh pasutri;Rp50.000/2 hari;Tidak boleh bawa anak;Agar pemilik dapat menghitung biayanya, mohon tulis detail barang elektronik saat pengajuan sewa.;Peraturan khusus tipe kamar ini;Rp100.000/2 hari;Dikembalikan di akhir periode sewa jika tidak ditemukan kerusakan pada kamar.;Rp10.000/4 hari;Rp50.000/7 hari;Rp200.000;Rp50.000/hari;R. Jemur;Kartu Akses;Balcon;Locker;R. Tamu;Laundry;Joglo;R. Santai;Pengurus Kos;Jual Makanan;Mesin Cuci;Penjaga Kos;Taman;CCTV;R. Cuci;Jemuran;Fasilitas umum;Dapur;Gazebo;R. Keluarga;WiFi;R. Makan;Mushola;Parkir Sepeda;Parkir Mobil;Fasilitas parkir;Parkir Motor;gender_1
['Rumah Makan Karamba', '700 m', 'Circle K - Nusa Indah', '581 m', 'Masjid Mina Yogyakarta', '2.7 km', 'Sekolah Tinggi Ilmu Manajemen Ykpn', '3.5 km', 'RS Umum Condong Catur', '534 m'];['Kost Al Faruq Ngaglik Sleman 257498AF'];1350000;9.0;True;False;False;True;True;True;True;True;True;True;False;False;False;True;False;True;False;True;False;False;True;True;True;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;True;True;False;False;False;False;True;False;True;True;True;False;False;True;False;True;False;False;True;True;Kos Putra
['Rumah Makan Rata-Rata', '2.3 km', 'Circle K Sorogenen', '3.5 km', 'Masjid Jami Tajem', '1.7 km', 'Bank BNI Kalasan', '3.5 km', 'Institut Pertanian Stiper', '3.0 km', 'RS Ibu Anak Arvita Bunda', '2.0 km'];['Kost Katte Living Kalasan Sleman 7B1QDH03'];750000;14.0;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;True;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;True;False;False;False;True;True;False;True;True;True;False;False;True;False;False;True;False;True;True;Kos Putri
['Rumah Makan Sari Rasa', '1.0 km', 'Circle K Janti Yogya Expo Center', '2.9 km', 'Sekolah Tinggi Ilmu Kesehatan Surya Global', '1.3 km', 'RS Khusus Ibu dan Anak PKU Muhammadiyah Kotagede', '866 m'];['Kost Dinda Pavilliun Banguntapan Bantul J1MPV187'];1350000;18.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;True;False;False;True;True;False;False;True;False;False;False;True;False;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;True;True;True;False;False;True;False;False;True;False;True;True;Kos Putri
['Rumah Makan & Restoran Parangtritis', '5.0 km', 'Masjid Al Mukmin', '518 m', 'Institut Seni Indonesia Yogyakarta', '2.2 km', 'RS Khusus Bedah Ring Road Selatan', '445 m'];['Kost Melati Sewon Bantul 296538MS'];600000;9.0;False;False;False;False;False;False;False;True;False;True;False;True;False;False;False;False;True;False;False;False;False;True;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;Kos Putri
['Rumah Makan & Seafood 99', '468 m', 'Masjid Al - Aman', '807 m', 'Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta', '937 m'];['Kost The Alamanda Godean Sleman 689PA'];1250000;9.0;True;False;True;True;True;False;True;True;True;True;True;True;False;True;False;True;True;True;False;False;True;True;False;False;False;True;False;False;True;False;False;False;False;True;False;False;False;False;False;False;True;False;True;False;False;False;False;False;True;True;True;False;False;False;False;True;True;True;False;True;True;False;True;False;True;False;True;False;False;False;False;True;False;False;True;False;False;False;True;True;True;True;False;False;True;False;False;False;False;True;True;Kos Putri
['Masjid Khadija', '7.2 km', 'Universitas Islam Indonesia', '1.0 km', 'RS Umum Mitra Paramedika', '5.1 km'];['Kost Rumah Joglo Ngemplak Sleman 164RJ'];900000;20.0;True;True;False;True;False;False;False;True;True;True;False;False;False;False;True;True;False;True;True;False;True;True;False;False;False;False;True;True;True;False;False;False;False;False;False;False;False;True;False;False;False;True;False;True;False;True;False;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;False;False;False;False;False;True;True;False;False;False;False;False;True;True;True;True;Kos Campur
['Warteg & Es Kelapa Muda Mas Kirno', '1.2 km', 'Circle K - Nusa Indah', '1.0 km', 'Masjid Muslim United', '1.3 km', 'Bank Mandiri', '2.0 km', 'Universitas Amikom Yogyakarta', '720 m', 'RS Jih', '155 m'];['Kost Singgahsini Alpukat Rania Tipe A Condong Catur Yogyakarta T775NZ5X'];1235000;7.5;True;False;True;True;True;False;True;True;True;True;True;False;False;True;False;True;True;True;True;False;True;True;True;False;False;True;False;False;True;False;False;True;False;True;False;False;False;False;False;False;False;True;True;False;False;False;False;True;False;True;False;False;False;False;False;True;True;True;False;True;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;True;False;True;True;False;False;True;False;False;False;True;True;True;Kos Putri
['Rumah Makan Seafood Ls', '2.9 km', 'Masjid Arrohmat', '253 m', 'Sekolah Tinggi Ilmu Manajemen Ykpn', '3.5 km', 'RSU Puri Husada Yogyakarta', '2.5 km'];['Kost Jakal Pak Arif Ngaglik Sleman 01V9BZ7M'];500000;0.0;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False;True;True;True;False;False;False;False;False;False;False;True;True;Kos Putra
['Rumah Makan Seafood Dewi', '464 m', 'Circle K AM Sangaji', '902 m', 'BCA Bank Pingit Branch', '504 m', 'Sekolah Tinggi Ilmu Administrasi Aan', '430 m', 'RS Umum Sakina Idaman', '310 m'];['Kost Sumaryadi Mlati Sleman 240CQ'];1000000;12.0;True;True;False;False;False;False;False;True;False;True;False;False;False;False;False;False;True;True;False;False;True;True;False;False;False;True;False;False;True;False;False;True;False;False;False;False;False;False;False;False;False;False;True;False;False;False;False;False;False;False;True;False;False;False;False;True;False;True;False;False;False;False;False;False;True;False;False;False;False;False;False;False;False;True;False;False;False;False;False;True;True;False;False;False;True;False;False;True;False;True;True;Kos Putri
['Rumah Makan Rata Rata', '697 m', 'Masjid Qoriban', '1.7 km', 'Sekolah Tinggi Ilmu Kesehatan Aisyiyah Yogyakarta', '1.6 km', 'RS Umum Queen Latifa', '2.2 km'];['Kost Griya Kirana Tipe A Gamping Sleman 491GK'];1100000;20.0;True;True;False;True;True;False;False;True;True;True;False;False;False;False;False;True;True;True;False;False;True;True;False;False;False;True;True;False;True;False;False;False;False;False;False;False;False;False;False;False;True;False;True;False;False;False;False;False;True;False;True;False;False;False;True;True;False;True;False;False;False;False;False;False;True;False;False;False;True;False;False;False;False;False;False;False;False;False;False;True;True;False;False;False;True;False;False;True;True;True;True;Kos Putri
